Mã sản phẩm,Tên sản phẩm,Danh mục,Thương hiệu,Xuất xứ,Giá gốc,Giá bán hiện tại,Giảm giá,Định lượng,Số lượng đã bán,Số lượng hàng tồn kho,Số lượt xem sản phẩm,Điểm đánh giá,Số lượng đánh giá,Mùa phổ biến,Giá trị định lượng,Đơn vị,Định lượng (g),Định lượng (ml),Loại sản phẩm
100040011063,Mì Vị Tôm Chua Cay Koreno Up (Thùng 20 gói),Nhu yếu phẩm,Koreno,Việt Nam,118000.0,96000.0,0.19,1340g,360,249,915,4.3,7,4 mùa,1340.0,g,1340.0,,rắn
100040011281,Mì Koreno Jumbo Vị Kim Chi (Thùng 40 gói),Nhu yếu phẩm,Koreno,Việt Nam,1060000.0,884000.0,0.17,4000g,310,408,740,4.9,41,4 mùa,4000.0,g,4000.0,,rắn
100040011067,Mì Koreno Jumbo Vị Kim Chi (Túi 10 gói),Nhu yếu phẩm,Koreno,Việt Nam,107000.0,100000.0,0.07,1000g,310,357,667,4.7,11,4 mùa,1000.0,g,1000.0,,rắn
100010011096,Thùng Mì Xào Khô INDOMIE Mix 2 Vị (Đặc Biệt + Cay Nồng) (40 gói),Nhu yếu phẩm,Indomie,Indonesia,295000.0,219000.0,0.26,3280g,625,443,1679,4.5,25,4 mùa,3280.0,g,3280.0,,rắn
100020011107,Mì xào khô INDOMIE Mi Goreng Pedas vị cay nồng (Thùng 40 gói),Nhu yếu phẩm,Indomie,Indonesia,295000.0,249000.0,0.16,3160g,540,393,1025,4.1,13,4 mùa,3160.0,g,3160.0,,rắn
100020011034,Mì xào khô INDOMIE Mi Goreng Pedas vị cay nồng (Combo 10 gói),Nhu yếu phẩm,Indomie,Indonesia,90000.0,78000.0,0.13,790g,540,223,1422,4.6,19,4 mùa,790.0,g,790.0,,rắn
100020011108,Mì xào khô INDOMIE Mi Goreng Pedas vị cay nồng (Combo 5 gói),Nhu yếu phẩm,Indomie,Indonesia,45000.0,39000.0,0.13,395g,540,157,1026,4.3,41,4 mùa,395.0,g,395.0,,rắn
100040011105,Mì xào khô INDOMIE Mi Goreng vị đặc biệt (Thùng 40 gói),Nhu yếu phẩm,Indomie,Indonesia,295000.0,214000.0,0.27,3400g,477,314,1114,4.2,37,4 mùa,3400.0,g,3400.0,,rắn
100040011030,Mì xào khô INDOMIE Mi Goreng vị đặc biệt (Combo 5 gói),Nhu yếu phẩm,Indomie,Indonesia,45000.0,39000.0,0.13,425g,477,325,1294,4.5,21,4 mùa,425.0,g,425.0,,rắn
100040011106,Mì xào khô INDOMIE Mi Goreng vị đặc biệt (Combo 10 gói),Nhu yếu phẩm,Indomie,Indonesia,90000.0,78000.0,0.13,850g,477,196,1053,4.6,9,4 mùa,850.0,g,850.0,,rắn
