Mã sản phẩm,Tên sản phẩm,Danh mục,Thương hiệu,Xuất xứ,Giá gốc,Giá bán hiện tại,Giảm giá,Định lượng,Số lượng đã bán,Số lượng hàng tồn kho,Số lượt xem sản phẩm,Điểm đánh giá,Số lượng đánh giá,Mùa phổ biến,Giá trị định lượng,Đơn vị,Định lượng (g),Định lượng (ml),Loại sản phẩm,Tổng doanh thu,Biên lợi nhuận,Lãi(+) / Lỗ(-) trên 1 sp,Tổng lãi/lỗ,Tỷ lệ chuyển đổi,Áp lực tồn kho,Rating_weighted,Xu hướng,Gợi ý chiến lược
100040011063,Mì Vị Tôm Chua Cay Koreno Up (Thùng 20 gói),Nhu yếu phẩm,Koreno,Việt Nam,118000.0,96000.0,0.19,1340g,360,249,915,4.3,7,4 mùa,1340.0,g,1340.0,,rắn,34560000.0,-0.1864406779661017,-22000.0,-7920000.0,0.39344262295081966,1.4457831325301205,8.941598629223293,Không rõ,"Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Nguy cơ thiếu hàng → cần nhập thêm hoặc giảm quảng cáo. Ít đánh giá tích cực → khuyến khích khách hàng để lại review. Thương hiệu yếu → khuyến khích combo với thương hiệu mạnh hoặc quảng cáo thêm."
100040011281,Mì Koreno Jumbo Vị Kim Chi (Thùng 40 gói),Nhu yếu phẩm,Koreno,Việt Nam,1060000.0,884000.0,0.17,4000g,310,408,740,4.9,41,4 mùa,4000.0,g,4000.0,,rắn,274040000.0,-0.1660377358490566,-176000.0,-54560000.0,0.4189189189189189,0.7598039215686274,18.314581129588507,Không rõ,"Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Thương hiệu yếu → khuyến khích combo với thương hiệu mạnh hoặc quảng cáo thêm."
100040011067,Mì Koreno Jumbo Vị Kim Chi (Túi 10 gói),Nhu yếu phẩm,Koreno,Việt Nam,107000.0,100000.0,0.07,1000g,310,357,667,4.7,11,4 mùa,1000.0,g,1000.0,,rắn,31000000.0,-0.06542056074766354,-7000.0,-2170000.0,0.46476761619190404,0.8683473389355743,11.679061254003603,Không rõ,"Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Ít đánh giá tích cực → khuyến khích khách hàng để lại review. Thương hiệu yếu → khuyến khích combo với thương hiệu mạnh hoặc quảng cáo thêm."
100010011096,Thùng Mì Xào Khô INDOMIE Mix 2 Vị (Đặc Biệt + Cay Nồng) (40 gói),Nhu yếu phẩm,Indomie,Indonesia,295000.0,219000.0,0.26,3280g,625,443,1679,4.5,25,4 mùa,3280.0,g,3280.0,,rắn,136875000.0,-0.2576271186440678,-76000.0,-47500000.0,0.37224538415723646,1.4108352144469527,14.66143442109667,Không rõ,"Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Nguy cơ thiếu hàng → cần nhập thêm hoặc giảm quảng cáo. Thương hiệu yếu → khuyến khích combo với thương hiệu mạnh hoặc quảng cáo thêm."
100020011107,Mì xào khô INDOMIE Mi Goreng Pedas vị cay nồng (Thùng 40 gói),Nhu yếu phẩm,Indomie,Indonesia,295000.0,249000.0,0.16,3160g,540,393,1025,4.1,13,4 mùa,3160.0,g,3160.0,,rắn,134460000.0,-0.15593220338983052,-46000.0,-24840000.0,0.526829268292683,1.3740458015267176,10.82013505142256,Không rõ,"Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Nguy cơ thiếu hàng → cần nhập thêm hoặc giảm quảng cáo. Ít đánh giá tích cực → khuyến khích khách hàng để lại review. Thương hiệu yếu → khuyến khích combo với thương hiệu mạnh hoặc quảng cáo thêm."
100020011034,Mì xào khô INDOMIE Mi Goreng Pedas vị cay nồng (Combo 10 gói),Nhu yếu phẩm,Indomie,Indonesia,90000.0,78000.0,0.13,790g,540,223,1422,4.6,19,4 mùa,790.0,g,790.0,,rắn,42120000.0,-0.13333333333333333,-12000.0,-6480000.0,0.379746835443038,2.42152466367713,13.780368458348358,Không rõ,"Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Nguy cơ thiếu hàng → cần nhập thêm hoặc giảm quảng cáo. Ít đánh giá tích cực → khuyến khích khách hàng để lại review. Thương hiệu yếu → khuyến khích combo với thương hiệu mạnh hoặc quảng cáo thêm."
100020011108,Mì xào khô INDOMIE Mi Goreng Pedas vị cay nồng (Combo 5 gói),Nhu yếu phẩm,Indomie,Indonesia,45000.0,39000.0,0.13,395g,540,157,1026,4.3,41,4 mùa,395.0,g,395.0,,rắn,21060000.0,-0.13333333333333333,-6000.0,-3240000.0,0.5263157894736842,3.4394904458598727,16.071979358618485,Không rõ,"Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Nguy cơ thiếu hàng → cần nhập thêm hoặc giảm quảng cáo. Thương hiệu yếu → khuyến khích combo với thương hiệu mạnh hoặc quảng cáo thêm."
100040011105,Mì xào khô INDOMIE Mi Goreng vị đặc biệt (Thùng 40 gói),Nhu yếu phẩm,Indomie,Indonesia,295000.0,214000.0,0.27,3400g,477,314,1114,4.2,37,4 mùa,3400.0,g,3400.0,,rắn,102078000.0,-0.2745762711864407,-81000.0,-38637000.0,0.4281867145421903,1.519108280254777,15.27786187085082,Không rõ,"Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Nguy cơ thiếu hàng → cần nhập thêm hoặc giảm quảng cáo. Thương hiệu yếu → khuyến khích combo với thương hiệu mạnh hoặc quảng cáo thêm."
100040011030,Mì xào khô INDOMIE Mi Goreng vị đặc biệt (Combo 5 gói),Nhu yếu phẩm,Indomie,Indonesia,45000.0,39000.0,0.13,425g,477,325,1294,4.5,21,4 mùa,425.0,g,425.0,,rắn,18603000.0,-0.13333333333333333,-6000.0,-2862000.0,0.3686244204018547,1.4676923076923076,13.909691040112422,Không rõ,"Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Nguy cơ thiếu hàng → cần nhập thêm hoặc giảm quảng cáo. Ít đánh giá tích cực → khuyến khích khách hàng để lại review. Thương hiệu yếu → khuyến khích combo với thương hiệu mạnh hoặc quảng cáo thêm."
100040011106,Mì xào khô INDOMIE Mi Goreng vị đặc biệt (Combo 10 gói),Nhu yếu phẩm,Indomie,Indonesia,90000.0,78000.0,0.13,850g,477,196,1053,4.6,9,4 mùa,850.0,g,850.0,,rắn,37206000.0,-0.13333333333333333,-12000.0,-5724000.0,0.452991452991453,2.433673469387755,10.59189142777261,Không rõ,"Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Nguy cơ thiếu hàng → cần nhập thêm hoặc giảm quảng cáo. Ít đánh giá tích cực → khuyến khích khách hàng để lại review. Thương hiệu yếu → khuyến khích combo với thương hiệu mạnh hoặc quảng cáo thêm."
